date,sales
2021-01-04,524.84
2021-01-11,517.39
2021-01-18,580.63
2021-01-25,647.65
2021-02-01,582.01
2021-02-08,602.87
2021-02-15,712.74
2021-02-22,689.42
2021-03-01,642.66
2021-03-08,705.95
2021-03-15,665.76
2021-03-22,673.02
2021-03-29,712.95
2021-04-05,606.84
2021-04-12,614.99
2021-04-19,668.96
2021-04-26,639.44
2021-05-03,696.07
2021-05-10,622.66
2021-05-17,582.74
2021-05-24,709.75
2021-05-31,606.36
2021-06-07,600.55
2021-06-14,504.11
2021-06-21,525.26
2021-06-28,534.46
2021-07-05,447.45
2021-07-12,499.87
2021-07-19,427.49
2021-07-26,420.07
2021-08-02,382.74
2021-08-09,484.96
2021-08-16,372.85
2021-08-23,303.76
2021-08-30,383.07
2021-09-06,268.6
2021-09-13,330.36
2021-09-20,214.94
2021-09-27,242.36
2021-10-04,317.34
2021-10-11,346.07
2021-10-18,322.26
2021-10-25,315.29
2021-11-01,316.12
2021-11-08,269.94
2021-11-15,322.96
2021-11-22,353.19
2021-11-29,448.28
2021-12-06,433.47
2021-12-13,350.35
2021-12-20,477.96
2021-12-27,466.45
2022-01-03,476.15
2022-01-10,564.88
2022-01-17,609.8
2022-01-24,628.06
2022-01-31,561.75
2022-02-07,609.11
2022-02-14,660.34
2022-02-21,709.83
2022-02-28,652.18
2022-03-07,679.54
2022-03-14,643.61
2022-03-21,646.49
2022-03-28,751.48
2022-04-04,780.31
2022-04-11,707.63
2022-04-18,757.25
2022-04-25,718.16
2022-05-02,658.1
2022-05-09,696.13
2022-05-16,740.26
2022-05-23,644.68
2022-05-30,705.88
2022-06-06,476.19
2022-06-13,626.44
2022-06-20,566.83
2022-06-27,523.96
2022-07-04,519.59
2022-07-11,391.71
2022-07-18,456.54
2022-07-25,462.51
2022-08-01,496.72
2022-08-08,376.44
2022-08-15,343.1
2022-08-22,341.56
2022-08-29,397.71
2022-09-05,356.08
2022-09-12,303.43
2022-09-19,348.59
2022-09-26,323.62
2022-10-03,365.93
2022-10-10,284.05
2022-10-17,307.31
2022-10-24,311.47
2022-10-31,268.0
2022-11-07,368.67
2022-11-14,382.0
2022-11-21,386.48
2022-11-28,393.7
2022-12-05,355.52
2022-12-12,427.47
2022-12-19,454.62
2022-12-26,455.59
2023-01-02,511.94
2023-01-09,564.5
2023-01-16,662.56
2023-01-23,600.23
2023-01-30,626.59
2023-02-06,630.85
2023-02-13,557.84
2023-02-20,669.72
2023-02-27,689.15
2023-03-06,821.98
2023-03-13,699.31
2023-03-20,731.38
2023-03-27,719.11
2023-04-03,664.07
2023-04-10,778.38
2023-04-17,754.67
2023-04-24,749.63
2023-05-01,654.89
2023-05-08,758.2
2023-05-15,603.26
2023-05-22,685.81
2023-05-29,747.17
2023-06-05,567.65
2023-06-12,567.03
2023-06-19,577.46
2023-06-26,523.74
2023-07-03,447.47
2023-07-10,504.51
2023-07-17,424.41
2023-07-24,478.34
2023-07-31,386.85
2023-08-07,489.85
2023-08-14,354.37
2023-08-21,360.54
2023-08-28,402.62
2023-09-04,288.1
2023-09-11,351.29
2023-09-18,398.28
2023-09-25,248.39
2023-10-02,336.73
2023-10-09,342.14
2023-10-16,372.79
2023-10-23,279.23
2023-10-30,285.16
2023-11-06,389.96
2023-11-13,393.8
2023-11-20,408.75
2023-11-27,432.75
2023-12-04,402.28
2023-12-11,470.11
2023-12-18,496.41
2023-12-25,469.98
